dateTime,S_in,S_out,SD,T_a,L_out,year,month,day,hour,minute,second
01-Jul-2025 00:00:00,0,0,0,277.720087250372,320.686875130483,2025,7,1,0,0,0
01-Jul-2025 01:00:00,0,0,0,276.442432113516,318.434929583547,2025,7,1,1,0,0
01-Jul-2025 02:00:00,0,0,0,275.865174281624,318.9890203072,2025,7,1,2,0,0
01-Jul-2025 03:00:00,0,0,0,275.749433029611,316.092803294835,2025,7,1,3,0,0
01-Jul-2025 04:00:00,0,0,0,275.349907224198,320.275241943245,2025,7,1,4,0,0
01-Jul-2025 05:00:00,0,0,0,275.321846709679,320.675579459708,2025,7,1,5,0,0
01-Jul-2025 06:00:00,0,0,0,274.692609858197,318.317494686728,2025,7,1,6,0,0
01-Jul-2025 07:00:00,12.1000896781145,0,0,274.374861613883,315.864384793298,2025,7,1,7,0,0
01-Jul-2025 08:00:00,24.8274444296816,0,0,273.711903407245,316.045841987237,2025,7,1,8,0,0
01-Jul-2025 09:00:00,102.246750514316,6.86650280327024,0,273.529658150249,317.497196452675,2025,7,1,9,0,0
01-Jul-2025 10:00:00,68.5451771759656,8.30661906333135,0,273.193596472812,314.744701364522,2025,7,1,10,0,0
01-Jul-2025 11:00:00,255.530877148293,26.4031635404005,0,273.232305421565,318.199987017275,2025,7,1,11,0,0
01-Jul-2025 12:00:00,231.912896963343,21.5730697543495,0,273.712829252164,323.490803711027,2025,7,1,12,0,0
01-Jul-2025 13:00:00,210.313331270279,19.5886043058704,0,273.7486955969,322.433544284582,2025,7,1,13,0,0
01-Jul-2025 14:00:00,310.116278330603,32.2662438634559,0,273.965707188895,325.915251199329,2025,7,1,14,0,0
01-Jul-2025 15:00:00,217.536899144475,24.2671675783465,0,274.105077967025,324.451082890826,2025,7,1,15,0,0
01-Jul-2025 16:00:00,174.95616202031,18.3227058283568,0,273.963459207593,324.260733490217,2025,7,1,16,0,0
01-Jul-2025 17:00:00,69.091140992478,7.98251751177494,0,273.195614461024,315.342314043027,2025,7,1,17,0,0
01-Jul-2025 18:00:00,46.0475709714778,6.85037399939983,0,273.038071525001,314.497151956145,2025,7,1,18,0,0
01-Jul-2025 19:00:00,24.9490579864126,0,0,272.979697992344,313.79657253379,2025,7,1,19,0,0
01-Jul-2025 20:00:00,14.24220232891,0,0,272.853061354652,313.122088291351,2025,7,1,20,0,0
01-Jul-2025 21:00:00,0,0,0,272.709497125117,313.645342740216,2025,7,1,21,0,0
01-Jul-2025 22:00:00,0,0,0,272.566954398463,311.935571008192,2025,7,1,22,0,0
01-Jul-2025 23:00:00,0,0,0,272.356433130555,311.365083116483,2025,7,1,23,0,0
02-Jul-2025 00:00:00,0,0,0,276.443779196954,317.741804687893,2025,7,2,0,0,0
02-Jul-2025 01:00:00,0,0,0,275.956573575573,317.236978115312,2025,7,2,1,0,0
02-Jul-2025 02:00:00,0,0,0,275.4555906128,317.903196087312,2025,7,2,2,0,0
02-Jul-2025 03:00:00,0,0,0,275.545111206018,317.545240227395,2025,7,2,3,0,0
02-Jul-2025 04:00:00,0,0,0,275.568421221214,317.578202742193,2025,7,2,4,0,0
02-Jul-2025 05:00:00,0,0,0,274.516306585949,316.602905167617,2025,7,2,5,0,0
02-Jul-2025 06:00:00,0,0,0,275.496010565066,317.527995687784,2025,7,2,6,0,0
02-Jul-2025 07:00:00,35.4067103239636,0,0,275.179557406179,317.158364940554,2025,7,2,7,0,0
02-Jul-2025 08:00:00,77.5345398130245,5.49735090007162,0,275.583780628654,318.015430234408,2025,7,2,8,0,0
02-Jul-2025 09:00:00,115.768192626778,7.08689832855334,0,275.961641387738,319.21752405831,2025,7,2,9,0,0
02-Jul-2025 10:00:00,302.405307294006,22.3157790273529,0,277.495987109273,330.715629718925,2025,7,2,10,0,0
02-Jul-2025 11:00:00,496.993572643715,45.317524207799,0,278.543914323219,347.132162286871,2025,7,2,11,0,0
02-Jul-2025 12:00:00,655.465830313104,71.8258458402396,0,279.579878018872,359.619873311465,2025,7,2,12,0,0
02-Jul-2025 13:00:00,877.855775350082,103.007483484398,0,280.649693124707,377.78866413749,2025,7,2,13,0,0
02-Jul-2025 14:00:00,949.996723386108,111.038892256125,0,281.231256442418,388.207137068691,2025,7,2,14,0,0
02-Jul-2025 15:00:00,583.276761920676,66.4557836532871,0,280.143535623595,375.989772702265,2025,7,2,15,0,0
02-Jul-2025 16:00:00,258.177363573121,26.250921858693,0,279.518781641583,353.901361593903,2025,7,2,16,0,0
02-Jul-2025 17:00:00,227.875497802261,25.8612730561408,0,278.519985294181,343.871561762774,2025,7,2,17,0,0
02-Jul-2025 18:00:00,151.097640751663,15.8465523738278,0,277.918349275642,335.939163393058,2025,7,2,18,0,0
02-Jul-2025 19:00:00,93.0808749397181,10.4665246903016,0,277.746816049681,332.81057789803,2025,7,2,19,0,0
02-Jul-2025 20:00:00,21.5003551282022,0,0,277.09649027892,327.679110524621,2025,7,2,20,0,0
02-Jul-2025 21:00:00,0,0,0,276.810007874707,323.968633984499,2025,7,2,21,0,0
02-Jul-2025 22:00:00,0,0,0,276.691102323266,323.739620250536,2025,7,2,22,0,0
02-Jul-2025 23:00:00,0,0,0,276.127946154557,321.498894178229,2025,7,2,23,0,0
03-Jul-2025 00:00:00,0,0,0,273.990232872072,312.439509642538,2025,7,3,0,0,0
03-Jul-2025 01:00:00,0,0,0,273.921839944507,313.220063618318,2025,7,3,1,0,0
03-Jul-2025 02:00:00,0,0,0,273.703172044682,311.832583407077,2025,7,3,2,0,0
03-Jul-2025 03:00:00,0,0,0,274.536952342873,314.363884536392,2025,7,3,3,0,0
03-Jul-2025 04:00:00,0,0,0,274.377549768437,314.87386455644,2025,7,3,4,0,0
03-Jul-2025 05:00:00,0,0,0,273.926869787942,313.827116393216,2025,7,3,5,0,0
03-Jul-2025 06:00:00,5.04660774887127,0,0,273.646994035028,313.99979409368,2025,7,3,6,0,0
03-Jul-2025 07:00:00,25.0093225586346,9.71373061699618,0,273.283710462072,314.148580232266,2025,7,3,7,0,0
03-Jul-2025 08:00:00,88.9554764147885,26.5399515508513,0,273.344889241711,314.635553543878,2025,7,3,8,0,0
03-Jul-2025 09:00:00,155.653151393174,17.1196822407358,0,273.778793153131,318.253239794736,2025,7,3,9,0,0
03-Jul-2025 10:00:00,233.621525100116,18.4166160703851,0,274.732341707794,324.826823359577,2025,7,3,10,0,0
03-Jul-2025 11:00:00,413.633949775623,46.6163378957993,0,275.672525217407,330.665107607993,2025,7,3,11,0,0
03-Jul-2025 12:00:00,767.855055500624,93.7253763538999,0,277.074805290135,353.007482949768,2025,7,3,12,0,0
03-Jul-2025 13:00:00,707.433670474338,87.3845938039589,0,277.639110785625,355.864764376638,2025,7,3,13,0,0
03-Jul-2025 14:00:00,580.761078062493,70.832311931403,0,277.839254396482,356.177874467706,2025,7,3,14,0,0
03-Jul-2025 15:00:00,276.540225680226,33.0347060903785,0,277.70950657886,341.919194164927,2025,7,3,15,0,0
03-Jul-2025 16:00:00,149.244007099084,17.2678869344792,0,277.188574376166,334.089280448343,2025,7,3,16,0,0
03-Jul-2025 17:00:00,73.8960101843984,8.08721432348568,0,276.307906083834,327.724272611963,2025,7,3,17,0,0
03-Jul-2025 18:00:00,62.8789343349203,6.62874059652989,0,275.785600399977,324.541139943161,2025,7,3,18,0,0
03-Jul-2025 19:00:00,34.4554923960788,0,0,275.499731181954,322.762698719792,2025,7,3,19,0,0
03-Jul-2025 20:00:00,11.7346967876881,0,0,275.087693255131,320.424012013288,2025,7,3,20,0,0
03-Jul-2025 21:00:00,0,0,0,274.983457949638,318.742247976868,2025,7,3,21,0,0
03-Jul-2025 22:00:00,0,0,0,275.007675891737,319.452051482407,2025,7,3,22,0,0
03-Jul-2025 23:00:00,0,0,0,274.637168020809,318.70170595105,2025,7,3,23,0,0
04-Jul-2025 00:00:00,0,0,0,273.144482941876,303.553050930038,2025,7,4,0,0,0
04-Jul-2025 01:00:00,0,0,0,273.191761903862,300.750624994846,2025,7,4,1,0,0
04-Jul-2025 02:00:00,0,0,0,273.09130949258,298.504561755365,2025,7,4,2,0,0
04-Jul-2025 03:00:00,0,0,0,273.214851488312,297.053139541687,2025,7,4,3,0,0
04-Jul-2025 04:00:00,0,0,0,273.959211145516,296.969500109385,2025,7,4,4,0,0
04-Jul-2025 05:00:00,0,0,0,274.482477838396,298.230492737291,2025,7,4,5,0,0
04-Jul-2025 06:00:00,0,0,0,273.923977027763,295.934648777687,2025,7,4,6,0,0
04-Jul-2025 07:00:00,15.4568930189573,0,0,274.599250938784,299.454859154301,2025,7,4,7,0,0
04-Jul-2025 08:00:00,27.3471757988299,5.00153006990861,0,275.321345612786,302.049318748981,2025,7,4,8,0,0
04-Jul-2025 09:00:00,75.5530131976506,11.5106974441553,0,275.999354575794,305.297808408122,2025,7,4,9,0,0
04-Jul-2025 10:00:00,597.320614752778,75.6626302107505,0,279.085570484432,341.00805479519,2025,7,4,10,0,0
04-Jul-2025 11:00:00,726.586780457133,87.7595448639316,0,281.923025379378,369.233630382778,2025,7,4,11,0,0
04-Jul-2025 12:00:00,815.238412962636,99.5780764674452,0,282.618489589487,382.165665313522,2025,7,4,12,0,0
04-Jul-2025 13:00:00,860.537778926094,108.134731294939,0,282.422461193939,384.22950117903,2025,7,4,13,0,0
04-Jul-2025 14:00:00,854.816356374125,105.123145964067,0,282.651671716237,384.552305668653,2025,7,4,14,0,0
04-Jul-2025 15:00:00,808.424980282999,97.0938861548205,0,282.330300201526,379.917257691798,2025,7,4,15,0,0
